ASMID,SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_030580455.1_ASM3058045v1,Barnettozyma sp. UFMG-CM-Y5996,UFMG-CM-Y5996,PRJNA736342,2866339,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Phaffomycetaceae,Barnettozyma,Barnettozyma sp. UFMG-CM-Y5996,F7F98C36
GCA_030558145.1_ASM3055814v1,Barnettozyma sucrosica,CBS 11512,PRJNA736342,683373,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Phaffomycetaceae,Barnettozyma,Barnettozyma sucrosica,F34AA5ED
GCA_030569515.1_ASM3056951v1,Barnettozyma vustinii,CBS 11554,PRJNA736342,682598,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Phaffomycetaceae,Barnettozyma,Barnettozyma vustinii,FD803000
GCA_030574915.1_ASM3057491v1,Barnettozyma wickerhamii,NRRL Y-2435,PRJNA736342,36032,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Phaffomycetaceae,Barnettozyma,Barnettozyma wickerhamii,FDF40DE0
GCA_041381275.1_ASM4138127v1,Bartalinia pondoensis,wz03,PRJNA856482,709514,dikarya,Ascomycota,,Sordariomycetes,,Amphisphaeriales,Sporocadaceae,Bartalinia,Bartalinia pondoensis,F005E189
GCA_055755435.1_ASM5575543v1,Basidioascus undulatus,DAOM 241956,PRJNA1250154,1230402,dikarya,Basidiomycota,,Geminibasidiomycetes,,Geminibasidiales,Geminibasidiaceae,Basidioascus,Basidioascus undulatus,F76D1687
GCA_000697455.1_BasHetB8920-1.0,Basidiobolus heterosporus B8920,B8920,PRJNA211915,1357690,fungi,Zoopagomycota,,Basidiobolomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus heterosporus,F4D8AF16
GCA_000697375.1_BasMerB9252-1.0,Basidiobolus meristosporus B9252,B9252,PRJNA211908,1357683,fungi,Zoopagomycota,,Basidiobolomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus meristosporus,F5E080B1
GCA_002104905.1_Basme2finSC,Basidiobolus meristosporus CBS 931.73,CBS 931.73,PRJNA196075,1314790,fungi,Zoopagomycota,,Basidiobolomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus meristosporus,F9147518
GCA_040143965.1_BranAGB5_UCR_1.0,Basidiobolus ranarum,AG-B5,PRJNA759578,34480,fungi,Zoopagomycota,,Basidiobolomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus ranarum,F7F3090E
GCA_001599675.1_JCM_23157_assembly_v001,Basipetospora chlamydospora,JCM 23157,PRJDB3556;PRJDB3651,89487,dikarya,Ascomycota,,Sordariomycetes,,Microascales,,Basipetospora,Basipetospora chlamydospora,FDF60022
GCA_037040375.1_ASM3704037v1,Basipetospora sp. M8501,M8501,PRJNA833221,3092710,dikarya,Ascomycota,,Sordariomycetes,,Microascales,,Basipetospora,Basipetospora sp. M8501,F0B1F3E0
GCA_021031095.1_ASM2103109v1,Bathelium albidoporum,NSR34,PRJNA714674,2820138,dikarya,Ascomycota,,Dothideomycetes,,Trypetheliales,Trypetheliaceae,Bathelium,Bathelium albidoporum,FDE26B4B
GCA_964256705.1_public_SRR14721933_metabat2_bin.1,Bathelium carolinianum,,PRJEB77567,2840191,dikarya,Ascomycota,,Dothideomycetes,,Trypetheliales,Trypetheliaceae,Bathelium,Bathelium carolinianum,F43D806D
GCA_026023875.1_ASM2602387v1,Bathelium mastoideum,Aptroot 80729-TS-e1944,PRJNA833438,2939407,dikarya,Ascomycota,,Dothideomycetes,,Trypetheliales,Trypetheliaceae,Bathelium,Bathelium mastoideum,F83D7E49
GCA_003595275.1_ASM359527v1,Batrachochytrium dendrobatidis,RTP6,PRJNA483086,109871,fungi,Chytridiomycota,,Chytridiomycetes,,Rhizophydiales,,Batrachochytrium,Batrachochytrium dendrobatidis,FB53F6ED
GCF_000203795.2_v1.1,Batrachochytrium dendrobatidis JAM81,JAM81,PRJNA41157,684364,fungi,Chytridiomycota,,Chytridiomycetes,,Rhizophydiales,,Batrachochytrium,Batrachochytrium dendrobatidis,F2ADAE73
GCA_000149865.1_BD_JEL423,Batrachochytrium dendrobatidis JEL423,JEL423,PRJNA13653;PRJNA176382,403673,fungi,Chytridiomycota,,Chytridiomycetes,,Rhizophydiales,,Batrachochytrium,Batrachochytrium dendrobatidis,F04BCA43
GCA_002006685.2_Batr_sala_V2,Batrachochytrium salamandrivorans,AMFP13,PRJNA311566,1357716,fungi,Chytridiomycota,,Chytridiomycetes,,Rhizophydiales,,Batrachochytrium,Batrachochytrium salamandrivorans,F61BA062
GCA_015295725.1_ASM1529572v1,Baudoinia panamericana,A11,PRJNA656291,1709381,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Baudoinia,Baudoinia panamericana,F409C33A
GCF_000338955.1_Bauco1,Baudoinia panamericana UAMH 10762,UAMH 10762,PRJNA53579,717646,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Baudoinia,Baudoinia panamericana,F95736F6
GCA_038367545.1_ASM3836754v1,Beauveria asiatica,ARSEF4384,PRJNA523240,1069075,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria asiatica,FA1D39A8
GCA_030411535.1_ASM3041153v1,Beauveria australis,MBC 212,PRJNA879330,1069076,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria australis,FBED4C02
GCA_001682635.1_ASM168263v1,Beauveria bassiana,ARSEF 8028,PRJNA260878,176275,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria bassiana,F8FF4E3C
GCF_000280675.1_ASM28067v1,Beauveria bassiana ARSEF 2860,ARSEF 2860,PRJNA38719,655819,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria bassiana,F1BB8A46
GCA_000770705.1_BBA1.0,Beauveria bassiana D1-5,D1-5,PRJNA178080,1245745,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria bassiana,F6D118E8
GCA_978021795.1_ASM240196,Beauveria brongniartii,BIPESCO2,PRJEB106624,118266,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria brongniartii,F050DC9F
GCA_001636735.1_BBO_1.0,Beauveria brongniartii RCEF 3172,RCEF 3172,PRJNA72729,1081107,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria brongniartii,FBF12065
GCA_051528435.1_YNP9,Beauveria caledonica,IHEM5253,PRJNA1074702,38006,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria caledonica,FC81EC80
GCA_053540745.1_BgryMY11210_Illumina,Beauveria gryllotalpidicola,BCC81472,PRJNA744643,2684613,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria gryllotalpidicola,F80A3441
GCA_030778325.1_ASM3077832v1,Beauveria medogensis,MBC 320,PRJNA879330,1884799,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria medogensis,F103B73A
GCA_053540725.1_BmimMY10362_Illumina,Beauveria mimosiformis,BCC75813,PRJNA744643,2857482,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria mimosiformis,F804B2BC
GCA_053539385.1_BnamMY8738_Illumina,Beauveria namnaoensis,BCC64218,PRJNA744643,2857483,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria namnaoensis,F3DD6F19
GCA_053539345.1_BneoNHJ6243_Illumina,Beauveria neobassiana,BCC1848,PRJNA744643,2857484,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria neobassiana,FF3429E4
GCA_022985055.1_ASM2298505v1,Beauveria pseudobassiana,RGM 2184,PRJNA799395,931006,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria pseudobassiana,FC6905A2
GCA_000733645.1_Beauveria_rudraprayagi_MTCC_8017_genome,Beauveria rudraprayagi,MTCC 8017,PRJNA242988,1481906,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria rudraprayagi,F7E355AA
GCA_037289395.1_Bsca5689,Beauveria scarabaeidicola,ARSEF 5689,PRJNA523240,108891,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria scarabaeidicola,FA21C2B8
GCA_030914405.1_ASM3091440v1,Beauveria sp. AdecLV25a,AdecLV25a,PRJNA921942,3027583,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria sp. AdecLV25a,F6D8329E
GCA_001931865.2_ASM193186v2,Beauveria sp. IMV 00265,IMV 00265,PRJNA355122,2562442,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria sp. IMV 00265,F541BEB1
GCA_024472245.1_BJJ-GSMG,Beauveria sp. NWAFU-1,NWAFU-1,PRJNA856614,2962708,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria sp. NWAFU-1,F06943D4
GCA_053539325.1_BthaMY3296_Illumina,Beauveria thailandica,BCC31618,PRJNA744643,2857485,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria thailandica,F9BEF1B8
GCA_030780425.1_ASM3078042v1,Beauveria varroae,MBC 525,PRJNA879330,1069079,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Beauveria,Beauveria varroae,F9319D5D
GCA_025766325.1_Benpoi1,Benjaminiella poitrasii,RSA 903,PRJNA522477,64631,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Benjaminiella,Benjaminiella poitrasii,F1E30E74
GCA_033807495.1_MorAD185_1_1,Benniella sp.,AD185,PRJNA713067,2810443,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Benniella,Benniella sp.,F75D53DE
GCA_003671435.1_ASM367143v1,Berkeleyomyces basicola,CMW49352,PRJNA421270,124036,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Berkeleyomyces,Berkeleyomyces basicola,F25E7855
GCF_048999995.1_ASM4899999v1,Berkeleyomyces rouxiae,22BRR77,PRJNA1200232,2035830,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Berkeleyomyces,Berkeleyomyces rouxiae,FFF069D9
GCA_025802115.2_ASM2580211v2,Bertia moriformis,D4H25SX9FM,PRJNA595693,306125,dikarya,Ascomycota,,Sordariomycetes,,Coronophorales,Bertiaceae,Bertia,Bertia moriformis,F694138C
GCA_001599595.1_JCM_9230_assembly_v001,Beverwykella pulmonaria,JCM 9230,PRJDB3556;PRJDB3643,409207,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Melanommataceae,Beverwykella,Beverwykella pulmonaria,F4EE98AD
GCA_964256235.1_public_SRR14722177_concoct_bin.11,Biatora appalachensis,,PRJEB77567,1399625,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Ramalinaceae,Biatora,Biatora appalachensis,F580EB9A
GCA_964255495.1_public_SRR14722013_metabat2_bin.2,Biatora pontica,,PRJEB77567,1399639,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Ramalinaceae,Biatora,Biatora pontica,FB42CCA7
GCA_002261195.1_ASM226119v1,Bifiguratus adelaidae,AZ0501,PRJNA368732,1938954,mucoromycota,Mucoromycota,,Endogonomycetes,,Endogonales,,Bifiguratus,Bifiguratus adelaidae,F22945DF
GCA_010015655.1_Bimnz1,Bimuria novae-zelandiae CBS 107.79,CBS 107.79,PRJNA234400,1447943,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Didymosphaeriaceae,Bimuria,Bimuria novae-zelandiae,FAD1CB17
GCA_038089175.1_TH8035-Binderoboletus-segoi,Binderoboletus segoi,G4412,PRJNA1022813,1748403,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Binderoboletus,Binderoboletus segoi,FE27BEF0
GCA_052576015.1_ASM5257601v1,Binucleata daphniae,BE-OM-3,PRJNA1199946,478975,fungi,Microsporidia,,,,,,Binucleata,Binucleata daphniae,F28A0749
GCA_026262445.1_ASM2626244v1,Bipolaris bicolor,ML9021,PRJNA874084,102001,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris bicolor,FCC66BA4
GCA_002286855.1_ASM228685v1,Bipolaris cookei,LSLP18.3,PRJNA399188,74410,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris cookei,F071287E
GCA_040113375.1_ASM4011337v1,Bipolaris gigantea,BG_F,PRJNA1095424,2695822,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris gigantea,F1EF9300
GCF_028858645.1_CocheC4_6,Bipolaris maydis,C4,PRJNA932748,5016,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris maydis,F0DF40D6
GCF_000354255.1_CocheC4_1,Bipolaris maydis ATCC 48331,ATCC 48331,PRJNA83117,665024,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris maydis,FE812461
GCA_000338975.1_CocheC5_3,Bipolaris maydis C5,C5,PRJNA42739,701091,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris maydis,F5E0ABE6
GCA_001675385.1_ASM167538v1,Bipolaris oryzae,TG12bL2,PRJNA302320,101162,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris oryzae,FF271F0B
GCF_000523455.1_Cochliobolus_miyabeanus_v1.0,Bipolaris oryzae ATCC 44560,ATCC 44560,PRJNA160935,930090,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris oryzae,FDEDD060
GCA_055773965.1_QHU_Bsiv_1.0,Bipolaris sivanesaniana,HL-12,PRJNA1399115,1918533,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris sivanesaniana,FDFC3F56
GCA_004329375.1_ASM432937v1,Bipolaris sorokiniana,BS112,PRJNA489551,45130,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris sorokiniana,FF7BE790
GCF_000338995.1_Cocsa1,Bipolaris sorokiniana ND90Pr,ND90Pr,PRJNA53923,665912,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris sorokiniana,F1FAA3A7
GCA_036562085.1_ASM3656208v1,Bipolaris sp. L1-2,L1-2,PRJNA865261,2970998,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris sp. L1-2,FC56900F
GCF_000527765.1_Cochliobolus_victoriae_v1.0,Bipolaris victoriae FI3,FI3,PRJNA160941,930091,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris victoriae,F5C7C4E5
GCA_016906865.1_ASM1690686v1,Bipolaris zeicola,GZL10,PRJNA693719,5017,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris zeicola,F751C42E
GCF_000523435.1_Cochliobolus_carbonum_v1.0,Bipolaris zeicola 26-R-13,26-R-13,PRJNA160939,930089,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris zeicola,F96E4512
GCA_022695795.1_Bisma1,Biscogniauxia marginata,CBS 124505,PRJNA571057,110534,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia marginata,F5A33E46
GCA_018398605.1_FBL658_Bm01,Biscogniauxia mediterranea,Bm01,PRJNA727443,97377,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia mediterranea,FCDDAB3C
GCA_022544895.1_Biscog1,Biscogniauxia sp. FL1348,FL1348,PRJNA567088,2614606,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia sp. FL1348,FF0ECD64
GCA_021307315.1_Bisporella_sp._PMI857_v1.0,Bisporella sp. PMI_857,PMI_857,PRJNA370789,1954211,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Helotiaceae,Bisporella,Bisporella sp. PMI_857,F34C1589
GCA_027924225.1_adusta_1.0,Bjerkandera adusta,Dec 1,PRJDB14086,5331,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Phanerochaetaceae,Bjerkandera,Bjerkandera adusta,F2B41FD7
GCA_025331445.1_Blatri1,Blakeslea trispora,NRRL 2456,PRJNA334931,4850,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Choanephoraceae,Blakeslea,Blakeslea trispora,F3B4DB5C
GCA_051941205.1_KEW_Blcr,Blastenia crenularia,LIQ216CACR,PRJNA991097,1301208,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Blastenia,Blastenia crenularia,F611D061
GCA_055672235.1_ASM5567223v1,Blastobotrys adeninivorans,PETY001,PRJNA1255537,409370,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys adeninivorans,F78A617B
GCA_045529695.1_ASM4552969v1,Blastobotrys allociferrii,CBS 18616,PRJNA1142247;PRJNA1143043,191333,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys allociferrii,FED6223E
GCA_003705795.3_ASM370579v3,Blastobotrys americana,NRRL Y-6844,PRJNA429441,1850976,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys americana,F4FE3D89
GCA_030564365.1_ASM3056436v1,Blastobotrys arbuscula,NRRL Y-17585,PRJNA736342,44071,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys arbuscula,F8E6A0B0
GCA_946409495.1_Wolfe_Bari_UCD613,Blastobotrys aristatus,UCD613,PRJEB55420,44072,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys aristatus,FAB0BB51
GCA_030564265.1_ASM3056426v1,Blastobotrys attinorum,NRRL Y-27639,PRJNA736342,254439,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys attinorum,FE929874
GCA_030579975.1_ASM3057997v1,Blastobotrys buckinghamii,NRRL Y-63727,PRJNA736342,1651947,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys buckinghamii,F899FC63
GCA_030564325.1_ASM3056432v1,Blastobotrys capitulatus,NRRL Y-17573,PRJNA736342,44068,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys capitulatus,F5C374BA
GCA_030570055.1_ASM3057005v1,Blastobotrys chiropterorum,NRRL Y-17071,PRJNA736342,45539,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys chiropterorum,FBA4E3FC
GCA_030564235.1_ASM3056423v1,Blastobotrys elegans,NRRL Y-17572,PRJNA736342,43972,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys elegans,F08462DF
GCA_965113335.1_BILLI_YB1343_PB,Blastobotrys illinoisensis,NRRL YB-1343,PRJEB84056,378048,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys illinoisensis,FA928182
GCA_030558855.1_ASM3055885v1,Blastobotrys indianensis,NRRL YB-1950,PRJNA736342,241408,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys indianensis,FEF07BA4
GCA_030558815.1_ASM3055881v1,Blastobotrys malaysiensis,NRRL Y-6417,PRJNA736342,378047,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys malaysiensis,FE6AC79A
GCA_003705765.3_ASM370576v3,Blastobotrys mokoenaii,NRRL Y-27120,PRJNA429441,267478,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys mokoenaii,F6BA1004
GCA_036871495.1_ASM3687149v1,Blastobotrys mucifer,17G1312,PRJNA1068766,191334,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys mucifer,FF38F669
GCA_003705745.3_ASM370574v3,Blastobotrys muscicola,NRRL Y-7993,PRJNA429441,378046,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys muscicola,F8C6ACD8
GCA_030558825.1_ASM3055882v1,Blastobotrys niveus,NRRL Y-17581,PRJNA736342,44073,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys niveus,F24CBC7E
GCA_030564285.1_ASM3056428v1,Blastobotrys parvus,NRRL Y-1004,PRJNA736342,43974,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys parvus,F2230ACB
GCA_003705735.3_ASM370573v3,Blastobotrys peoriensis,NRRL YB-2290,PRJNA429441,378051,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys peoriensis,F9501FD8
GCA_030585065.1_ASM3058506v1,Blastobotrys persicus,CBS 14259,PRJNA736342,2861705,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys persicus,F7E9D023
GCA_003707485.3_ASM370748v3,Blastobotrys proliferans,NRRL Y-17577,PRJNA429441,44067,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys proliferans,F7A26DFD
GCA_003705705.2_ASM370570v2,Blastobotrys raffinosifermentans,NRRL Y-27150,PRJNA429441,1548389,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys raffinosifermentans,F511112B
GCA_030564385.1_ASM3056438v1,Blastobotrys robertii,NRRL Y-27775,PRJNA736342,1850977,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys robertii,F4155429
GCA_977070965.1_Blastobotrys_sasensis_CCF6841_ver1,Blastobotrys sasensis,,PRJEB102645,3469095,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys sasensis,F8B45790
GCA_003705695.2_ASM370569v2,Blastobotrys serpentis,NRRL Y-48249,PRJNA429441,456365,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys serpentis,F797F8D2
GCA_037074825.1_ASM3707482v1,Blastobotrys sp. G-9,G-9,PRJNA1061465,3112566,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys sp. G-9,F7C41927
GCA_049862355.1_ASM4986235v1,Blastobotrys sp. GZQ94Y-2,GZQ94Y-2,PRJNA1240779,3411431,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys sp. GZQ94Y-2,F5B0A9F9
GCA_030674225.1_ASM3067422v1,Blastobotrys terrestris,NRRL Y-17704,PRJNA736342,43981,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys terrestris,FCB1E899
GCA_025349905.2_Blabri1,Blastocladiella britannica,JEL711,PRJNA331555,64508,fungi,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Blastocladiella,Blastocladiella britannica,F293FA0F
GCA_025594325.1_blem_2022,Blastocladiella emersonii ATCC 22665,ATCC 22665,PRJNA194096,1313167,fungi,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Blastocladiella,Blastocladiella emersonii,FB31CF16
GCA_043170745.1_ASM4317074v1,Blastomyces dermatitidis,23166,PRJNA890593,5039,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces dermatitidis,FE43914B
GCA_000301155.1_BD_ATCC18187_V1,Blastomyces dermatitidis ATCC 18187,ATCC 18187,PRJNA176382;PRJNA61999,946394,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces dermatitidis,F463ED6D
GCA_000151595.1_BD_ATCC18188_V1,Blastomyces dermatitidis ATCC 18188,ATCC 18188,PRJNA176382;PRJNA289976;PRJNA39265,653446,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces dermatitidis,F00612AC
GCA_000166155.1_BD_ATCC26199_V2,Blastomyces dermatitidis ATCC 26199,ATCC 26199,PRJNA176382;PRJNA289976;PRJNA39263,447095,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces dermatitidis,F9C2A7FB
GCF_000003525.1_BD_ER3_V1,Blastomyces dermatitidis ER-3,ER-3,PRJNA176382;PRJNA289976;PRJNA29171,559297,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces dermatitidis,F00FD2C2
GCA_003206725.1_ASM320672v1,Blastomyces emzantsi,MRL_BACNE1992,PRJNA450721,2723674,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces emzantsi,FA4B4FC5
GCA_043229185.1_ASM4322918v1,Blastomyces gilchristii,23019,PRJNA890593,1681229,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces gilchristii,F47B70A6
GCF_000003855.2_BD_SLH14081_V1,Blastomyces gilchristii SLH14081,SLH14081,PRJNA176382;PRJNA289976;PRJNA29173,559298,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces gilchristii,FB5F2805
GCA_002572885.1_Emmon_parv_130,Blastomyces parvus,UAMH130,PRJNA179100;PRJNA252752,2060905,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces parvus,F8DC8B16
GCA_018296065.1_ASM1829606v1,Blastomyces percursus,IHEM 26956,PRJNA603110,1658174,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces percursus,F2721BAA
